Column3	Column4	Column5
3337519.6000	1742282.5909	5131459.3847
3337519.6008	1742282.5894	5131459.3844
3337519.6013	1742282.5888	5131459.3844
3337519.6019	1742282.5882	5131459.3846
3337519.6020	1742282.5879	5131459.3844
3337519.6024	1742282.5875	5131459.3845
3337519.6019	1742282.5883	5131459.3844
3337519.6023	1742282.5878	5131459.3843
3337519.6016	1742282.5884	5131459.3838
3337519.6013	1742282.5884	5131459.3832
3337519.6022	1742282.5869	5131459.3833
3337519.6034	1742282.5850	5131459.3834
3337519.6039	1742282.5843	5131459.3834
3337519.6036	1742282.5848	5131459.3834
3337519.6044	1742282.5834	5131459.3835
3337519.6049	1742282.5820	5131459.3832
3337519.6058	1742282.5807	5131459.3833
3337519.6060	1742282.5803	5131459.3833
3337519.6070	1742282.5788	5131459.3836
3337519.6075	1742282.5780	5131459.3837
3337519.6079	1742282.5774	5131459.3837
3337519.6084	1742282.5764	5131459.3837
3337519.6078	1742282.5775	5131459.3836
3337519.6071	1742282.5785	5131459.3834
3337519.6066	1742282.5793	5131459.3833
3337519.6063	1742282.5798	5131459.3832
3337519.6056	1742282.5811	5131459.3832
3337519.6058	1742282.5807	5131459.3832
3337519.6067	1742282.5794	5131459.3836
3337519.6064	1742282.5798	5131459.3834
3337519.6051	1742282.5818	5131459.3830
3337519.6035	1742282.5844	5131459.3825
3337519.6028	1742282.5857	5131459.3824
3337519.6018	1742282.5875	5131459.3822
3337519.6019	1742282.5876	5131459.3823
3337519.6027	1742282.5864	5131459.3826
3337519.6028	1742282.5864	5131459.3827
3337519.6029	1742282.5864	5131459.3828
3337519.6030	1742282.5863	5131459.3829
3337519.6033	1742282.5859	5131459.3830
3337519.6026	1742282.5874	5131459.3830
3337519.6021	1742282.5885	5131459.3830
3337519.6019	1742282.5891	5131459.3830
3337519.6013	1742282.5904	5131459.3829
3337519.6011	1742282.5906	5131459.3828
3337519.6015	1742282.5896	5131459.3829
3337519.6017	1742282.5890	5131459.3828
3337519.5998	1742282.5911	5131459.3824
3337519.5995	1742282.5909	5131459.3818
3337519.5993	1742282.5908	5131459.3814
3337519.5998	1742282.5910	5131459.3817
3337519.6000	1742282.5910	5131459.3818
3337519.6000	1742282.5909	5131459.3817
3337519.6001	1742282.5909	5131459.3818
3337519.6007	1742282.5910	5131459.3822
3337519.6008	1742282.5909	5131459.3821
3337519.6009	1742282.5908	5131459.3822
3337519.6009	1742282.5909	5131459.3823
3337519.6010	1742282.5909	5131459.3824
3337519.6010	1742282.5909	5131459.3824
3337519.6010	1742282.5910	5131459.3825
3337519.6010	1742282.5910	5131459.3824
3337519.6009	1742282.5909	5131459.3824
3337519.6009	1742282.5909	5131459.3823
3337519.6009	1742282.5910	5131459.3824
3337519.6010	1742282.5910	5131459.3826
3337519.6010	1742282.5911	5131459.3826
3337519.6011	1742282.5909	5131459.3827
3337519.6011	1742282.5910	5131459.3827
3337519.6011	1742282.5910	5131459.3828
3337519.6011	1742282.5910	5131459.3828
3337519.6011	1742282.5911	5131459.3828
3337519.6011	1742282.5911	5131459.3828
3337519.6010	1742282.5911	5131459.3827
3337519.6010	1742282.5911	5131459.3827
3337519.6010	1742282.5911	5131459.3826
3337519.6010	1742282.5911	5131459.3826
3337519.6009	1742282.5911	5131459.3826
3337519.6009	1742282.5911	5131459.3825
3337519.6008	1742282.5909	5131459.3823
3337519.6008	1742282.5909	5131459.3822
3337519.6007	1742282.5909	5131459.3821
3337519.6007	1742282.5909	5131459.3820
3337519.6007	1742282.5909	5131459.3820
3337519.6007	1742282.5908	5131459.3819
3337519.6006	1742282.5908	5131459.3818
